ID CARTO;Adresse;CP;Ville;Opération;Activité précise du locataire;Catégorie activité;Enseigne;LAT_ok;LONG_ok;XY
C94;16 rue de Seine/ 1 rue des Beaux-Arts;75006;Paris;DLH;Galerie d'art;CULTUREL;APPLICAT-PRAZAN;48.85616854;2.33651749;48.85616854, 2.33651749
C298;37 rue de Dunkerque;75010;Paris;VQ2;vente de produits d'équipement de la maison et du bien etre issus de produits naturels;EQUIPEMENT;LA FIBRE NATURELLE;48.88064508;2.35158416;48.88064508, 2.35158416
C148;42 rue Chapon;75003;Paris;Foncière;caviste;ALIMENTAIRE;PORTOLOGIA;48.86389594;2.35451342;48.86389594, 2.35451342
C317;71 rue du Faubourg Saint-Martin;75010;Paris;VQ2;Accessoires déco,mode,vêtements;EQUIPEMENT;MADE BY MOI;48.8721542;2.35723641;48.8721542, 2.35723641
C103;22-24 rue Jacob;75006;Paris;DLH;Galerie d'antiquités;CULTUREL;GALERIE EBERWEIN;48.85508608;2.33530936;48.85508608, 2.33530936
C195;32 Rue des Couronnes;75020;Paris;Foncière;Bouquinerie;SERVICES A LA PERSONNE;LA VAGUE A L'AME;48.86967331;2.38248114;48.86967331, 2.38248114
C319;52 rue du Faubourg Saint-Martin;75010;Paris;VQ2;Studio d'enregistrement;SERVICES AUX ENTREPRISES;SXS PRODUCTION;48.87088993;2.35681036;48.87088993, 2.35681036
C281;65 rue Monge;75005;Paris;VQ2;Librairie Jeunesse, papeterie, jouets;CULTUREL;LA PETITE BOUCHERIE;48.8440439;2.35247014;48.8440439, 2.35247014
C114;22-24 rue Jacob;75006;Paris;DLH;Librairie-édition;CULTUREL;LA LESSE;48.85513773;2.3351596199999998;48.85513773, 2.3351596199999998
C318;32 rue des Vinaigriers;75010;Paris;VQ2;Librairie;CULTUREL;PHILIPPE LE LIBRAIRE;48.87320869;2.36234353;48.87320869, 2.36234353
C227;53 av Daumesnil;75012;Paris;Viaduc des arts;;TRAVAUX;;48.84718687;2.37595814;48.84718687, 2.37595814
C180;129 rue de la Roquette;75011;Paris;Foncière;Pressing;SERVICES A LA PERSONNE;SUPER CLEAN;48.85848368;2.38304784;48.85848368, 2.38304784
C122;2 rue des Beaux-Arts;75006;Paris;DLH;Encadreur décorateur;METIERS D'ART;SARL JACQUES LEGUENNEC;48.85634595;2.33639837;48.85634595, 2.33639837
C209;125 av Daumesnil;75012;Paris;Viaduc des arts;maquettes d'architecture;SERVICES AUX ENTREPRISES;ARTEFACT;48.84457423;2.38138141;48.84457423, 2.38138141
C252;103 av Daumesnil;75012;Paris;Viaduc des arts;lutherie;METIERS D'ART;YANN PORRET LUTHIER;48.84527208;2.37993084;48.84527208, 2.37993084
C201;16 Esplanade Nathalie Sarraute;75018;Paris;Pajol;agence graphisme;METIERS D'ART;CL DESIGN;48.888656;2.36242626;48.888656, 2.36242626
C290;11 rue de Vaugirard;75006;Paris;VQ2;Librairie spécialisée en photo et cinéma;CULTUREL;ANTIQPHOTO.COM;48.84894959;2.33960734;48.84894959, 2.33960734
C107;5/7 rue des Beaux-Arts;75006;Paris;DLH;Galerie d'art;CULTUREL;GALERIE CLAUDE BERNARD;48.85629878;2.3358062;48.85629878, 2.3358062
C77;37Bis rue de Montreuil;75011;Paris;Cour de l'Industrie;Cours de musique et dessin;METIERS D'ART;;48.85067795;2.38730962;48.85067795, 2.38730962
C1024;30/34, rue du Chemin Vert;75011;Paris;Bréguet;Vente à consommer sur place ou à emporter de boissons non alcoolisées, de restauration rapide sans cuisson, location d’espaces de travail partagés, activité de domiciliation d’entreprises;SERVICES A LA PERSONNE;COOL & WORKER;48.8585;2.3732;48.8585, 2.3732
C84;13/15 Bd des Filles du Calvaire et 21 rue des Commines;75003;Paris;DLH;Papèterie;EQUIPEMENT;ROUGIER&PLÉ;48.86260779;2.36657413;48.86260779, 2.36657413
C85;45-47 rue Saint-Paul;75004;Paris;DLH;Produits diététiques et bien-être;EQUIPEMENT;BIEN-ETRE SAINT-PAUL;48.85433326;2.36231698;48.85433326, 2.36231698
C217;73 av Daumesnil;75012;Paris;Viaduc des arts;luminaire d'art fer-bronze;METIERS D'ART;BAGUES;48.8465003;2.37740543;48.8465003, 2.37740543
C279;5 rue du Sommerard;75005;Paris;VQ2;Librairie et maison d'éditions spécialisée dans l'art;CULTUREL;EDITIONS SCALA;48.84970823;2.34728422;48.84970823, 2.34728422
C230;67 av Daumesnil;75012;Paris;Viaduc des arts;mobilier contemp.fer forgé;METIERS D'ART;ITHEMBA;48.8468082;2.37674046;48.8468082, 2.37674046
C175;159 rue Saint-Maur;75011;Paris;Foncière;Epicerie italienne;ALIMENTAIRE;PAISANO;48.86883969;2.37439038;48.86883969, 2.37439038
C206;12 Esplanade Nathalie Sarraute;75018;Paris;Pajol;agence relation-presse;SERVICES AUX ENTREPRISES;RELATIONS DURABLES;48.8883349;2.3622370999999998;48.8883349, 2.3622370999999998
C109;2 rue des Beaux-Arts;75006;Paris;DLH;Galerie d'art;CULTUREL;GALERIE LE MINOTAURE;48.85636279;2.33624522;48.85636279, 2.33624522
C117;3bis/5-7 rue des Beaux-Arts;75006;Paris;DLH;Galerie d'art;CULTUREL;LOFT;48.85627745;2.33604443;48.85627745, 2.33604443
C1010;3/5 rue d'Arras;75005;Paris;VQ2;Librairie;CULTUREL;LIBRAIRIE LUTECE;48.8473;2.3517;48.8473, 2.3517
C161;19 rue Pétion;75011;Paris;Foncière;Librairie Jeunesse et ateliers pour enfants;CULTUREL;ATTRAPE NUAGE;48.85910203;2.38108459;48.85910203, 2.38108459
C143;36 rue de Crimée;75019;Paris;DLH;;TRAVAUX;;48.87894035;2.39031395;48.87894035, 2.39031395
C34;130 Bis Boulevard Mac Donald;75019;Paris;CLAUDE BERNARD;Auto école associative;SERVICES A LA PERSONNE;Assoc.Permis.Pour.Réussir;48.8990811;2.37999416;48.8990811, 2.37999416
C241;87 av Daumesnil;75012;Paris;Viaduc des arts;orfèvrerie;METIERS D'ART;Nicolas Marischael;48.84579911;2.37883565;48.84579911, 2.37883565
C92;2 rue des Beaux-Arts;75006;Paris;DLH;Galerie d'art;CULTUREL;GALERIE BERTHET-AITTOUARES;48.85637065;2.33617886;48.85637065, 2.33617886
C1023;17/19 bis, rue Bréguet;75011;Paris;Bréguet;restaurant traditionnel, épicerie bio, épicerie fine;SERVICES A LA PERSONNE;LE BREGUET;48.8576;2.3737;48.8576, 2.3737
C295;60 rue Monsieur le Prince;75006;Paris;VQ2;Librairie d''éditeur;CULTUREL;PRESSES UNIVERSITAIRES DE France;48.848058;2.34070298;48.848058, 2.34070298
C181;18 rue du Général Guilhem;75011;Paris;Foncière;Vente de Jardinières et de plantes d'exterieur;EQUIPEMENT;VARIATIONS VÉGÉTALES;48.86183674;2.37972212;48.86183674, 2.37972212
C271;37 Rue Bisson;75020;Paris;VQ1;Atelier de tôlerie;METIERS D'ART;GRESILLON SARL;48.87116914;2.38206037;48.87116914, 2.38206037
C136;21 avenue du Maine;75015;Paris;DLH;collectionneur d'arts;CULTUREL;;48.84347338;2.32122204;48.84347338, 2.32122204
C81;59 Rue de Rivoli;75001;Paris;DLH;Cosmétiques;EQUIPEMENT;MAC;48.85921345;2.34566097;48.85921345, 2.34566097
C327;58 rue du Château d'eau;75010;Paris;VQ2;Retoucherie;SERVICES A LA PERSONNE;TAILLEUR RETOUCHEUR;48.87211504;2.35645849;48.87211504, 2.35645849
C343;7 Rue Sauffroy;75017;Paris;VQ2;Conseil en agencement, décoration et aménagement intérieur;SERVICES A LA PERSONNE;MONPETITAPPART;48.89095045;2.32047623;48.89095045, 2.32047623
C80;24 Bis Rue Saint-Roch;75001;Paris;DLH;Expo-vente  pdts artisanaux internationaux;CULTUREL;SPHERE DEVELOPPEMENT;48.86600142;2.33274235;48.86600142, 2.33274235
C108;13 quai de Conti;75006;Paris;DLH;Galerie d'art;CULTUREL;Galerie Larock Granoff;48.85699497;2.3381800200000002;48.85699497, 2.3381800200000002
C250;97 av Daumesnil;75012;Paris;Viaduc des arts;Création meubles bois;METIERS D'ART;STUDIO OLIVIER DOLLE;48.84547772;2.379521;48.84547772, 2.379521
C336;93 Rue des Moines;75017;Paris;VQ2;Conception, réalisation et vente de documents infographiés;SERVICES AUX ENTREPRISES;MENUS & SERVICES;48.89236553;2.32236597;48.89236553, 2.32236597
C186;127/129 rue de Charenton;75012;Paris;Foncière;Librairie généraliste;CULTUREL;CHARYBDE;48.84555926;2.38066604;48.84555926, 2.38066604
C339;44 Rue de la Jonquière;75017;Paris;VQ2;Epicerie fine de produits méditerranéens;ALIMENTAIRE;IL GUSTO D'ITALIA;48.89356823;2.3232341;48.89356823, 2.3232341
C159;245 rue Saint-Martin;75003;Paris;Foncière;Epicerie fine, caviste, fromager, sandwiches;ALIMENTAIRE;ORIGINE;48.86587799;2.35328018;48.86587799, 2.35328018
C156;53 rue Notre-Dame de Nazareth / 58-60 rue du Vertbois;75003;Paris;Foncière;Vente et conseil en décoration interieure;EQUIPEMENT;LILAH SPIRIT;48.86764713;2.35652314;48.86764713, 2.35652314
C301;264 rue du faubourg Saint-Martin;75010;Paris;VQ2;Restaurant;SERVICES A LA PERSONNE;LOULOUCAM;48.88306392;2.36778823;48.88306392, 2.36778823
